ground_truth_organizational_structure,prediction_organizational_structure,rounded_prediction_organizational_structure,ground_truth_coherence,prediction_coherence,rounded_prediction_coherence,ground_truth_essay_length,prediction_essay_length,rounded_prediction_essay_length,ground_truth_grammatical_accuracy,prediction_grammatical_accuracy,rounded_prediction_grammatical_accuracy,ground_truth_grammatical_diversity,prediction_grammatical_diversity,rounded_prediction_grammatical_diversity,ground_truth_lexical_accuracy,prediction_lexical_accuracy,rounded_prediction_lexical_accuracy,ground_truth_lexical_diversity,prediction_lexical_diversity,rounded_prediction_lexical_diversity,ground_truth_punctuation_accuracy,prediction_punctuation_accuracy,rounded_prediction_punctuation_accuracy,ground_truth_argument_clarity,prediction_argument_clarity,rounded_prediction_argument_clarity,ground_truth_justifying_persuasiveness,prediction_justifying_persuasiveness,rounded_prediction_justifying_persuasiveness
3.0,3.2949219,3.5,3.5,3.3867188,3.5,3.5,3.8535156,4.0,3.0,2.8808594,3.0,2.0,3.0097656,3.0,2.0,3.1074219,3.0,2.0,2.9023438,3.0,3.5,3.3574219,3.5,3.5,3.5683594,3.5,3.0,3.2890625,3.5
4.0,4.1835938,4.0,3.5,4.1875,4.0,5.0,4.9257812,5.0,3.5,4.0195312,4.0,3.5,4.265625,4.5,3.5,4.265625,4.5,3.5,3.796875,4.0,4.0,4.4023438,4.5,4.0,4.078125,4.0,4.0,4.1015625,4.0
2.5,2.5410156,2.5,2.5,2.6835938,2.5,2.5,3.1152344,3.0,2.0,2.25,2.0,2.5,2.453125,2.5,2.5,2.4863281,2.5,2.0,2.3808594,2.5,2.5,2.6679688,2.5,1.0,2.8203125,3.0,3.0,2.6582031,2.5
4.0,4.359375,4.5,4.0,4.4335938,4.5,4.0,5.0429688,5.0,4.0,4.3359375,4.5,4.0,4.6875,4.5,4.0,4.6601562,4.5,4.0,4.0429688,4.0,4.5,4.5898438,4.5,4.0,4.0859375,4.0,4.0,4.296875,4.5
3.5,3.6757812,3.5,3.0,3.7792969,4.0,3.5,4.3632812,4.5,2.5,3.5566406,3.5,3.0,3.8105469,4.0,3.0,3.8417969,4.0,3.0,3.3945312,3.5,4.0,4.0078125,4.0,4.0,3.7617188,4.0,3.5,3.7304688,3.5
3.0,3.6992188,3.5,3.0,3.6953125,3.5,4.5,4.2929688,4.5,3.0,3.2675781,3.5,3.0,3.4765625,3.5,3.0,3.5527344,3.5,3.0,3.2617188,3.5,3.5,3.8242188,4.0,3.5,3.8203125,4.0,3.0,3.6269531,3.5
4.0,3.9511719,4.0,4.0,4.0664062,4.0,4.0,4.6523438,4.5,4.0,3.9355469,4.0,4.0,4.0703125,4.0,4.0,4.0585938,4.0,3.0,3.6347656,3.5,3.5,4.0703125,4.0,3.5,3.9121094,4.0,3.0,3.8378906,4.0
3.0,3.6425781,3.5,3.0,3.7832031,4.0,3.5,4.2734375,4.5,3.0,3.6738281,3.5,3.0,3.9453125,4.0,3.0,3.8945312,4.0,3.0,3.3730469,3.5,4.0,3.9101562,4.0,3.0,3.8222656,4.0,3.0,3.5234375,3.5
4.5,4.4257812,4.5,4.0,4.4453125,4.5,4.5,5.1289062,5.0,4.0,4.4492188,4.5,4.0,4.5898438,4.5,4.0,4.625,4.5,4.0,4.0546875,4.0,4.5,4.5429688,4.5,4.5,4.2695312,4.5,4.0,4.265625,4.5
3.0,3.3613281,3.5,3.0,3.4628906,3.5,4.0,4.0351562,4.0,3.0,3.1796875,3.0,3.0,3.2949219,3.5,3.0,3.3183594,3.5,3.0,3.1230469,3.0,3.5,3.484375,3.5,3.0,3.640625,3.5,3.0,3.3554688,3.5
3.0,3.6757812,3.5,4.0,3.7402344,3.5,4.0,4.3945312,4.5,3.0,3.4882812,3.5,3.0,3.7148438,3.5,3.0,3.7011719,3.5,3.5,3.2890625,3.5,3.5,3.7890625,4.0,3.5,3.96875,4.0,3.5,3.6328125,3.5
3.0,3.7890625,4.0,4.0,3.8925781,4.0,5.0,4.5585938,4.5,3.0,3.5820312,3.5,3.0,3.7871094,4.0,3.0,3.8183594,4.0,3.0,3.5644531,3.5,3.5,3.9960938,4.0,3.5,4.015625,4.0,4.0,3.8769531,4.0
4.0,4.015625,4.0,4.0,4.1953125,4.0,5.0,4.7304688,4.5,3.0,3.8867188,4.0,3.0,3.9765625,4.0,3.0,4.0273438,4.0,3.0,3.65625,3.5,4.0,4.1875,4.0,3.5,4.0039062,4.0,4.0,3.9960938,4.0
2.0,2.4921875,2.5,2.0,2.421875,2.5,3.0,3.1445312,3.0,2.0,2.0078125,2.0,2.0,2.265625,2.5,2.0,2.28125,2.5,2.5,2.296875,2.5,2.0,2.3632812,2.5,2.5,2.8964844,3.0,2.0,2.6777344,2.5
3.5,4.1484375,4.0,4.0,4.2617188,4.5,4.0,4.84375,5.0,4.0,4.0976562,4.0,4.0,4.34375,4.5,4.0,4.4296875,4.5,3.0,3.7597656,4.0,4.0,4.4453125,4.5,4.0,4.0703125,4.0,3.0,4.1171875,4.0
4.0,4.4296875,4.5,4.0,4.4375,4.5,5.0,5.0820312,5.0,4.0,4.3242188,4.5,4.0,4.5351562,4.5,4.0,4.6328125,4.5,4.0,4.0351562,4.0,4.0,4.5742188,4.5,3.5,4.1601562,4.0,4.0,4.34375,4.5
4.0,4.4023438,4.5,4.0,4.4335938,4.5,3.5,5.109375,5.0,4.0,4.3671875,4.5,4.0,4.5859375,4.5,4.0,4.6835938,4.5,4.0,4.0390625,4.0,4.5,4.53125,4.5,4.0,4.203125,4.0,4.0,4.3320312,4.5
1.5,2.4140625,2.5,2.0,2.4882812,2.5,2.0,2.8945312,3.0,1.5,2.1425781,2.0,2.0,2.3164062,2.5,2.0,2.359375,2.5,2.0,2.2402344,2.0,3.0,2.3632812,2.5,1.0,2.6953125,2.5,2.5,2.5117188,2.5
4.0,4.5234375,4.5,4.0,4.4921875,4.5,4.5,5.09375,5.0,4.0,4.4921875,4.5,4.0,4.609375,4.5,4.0,4.6679688,4.5,4.0,4.0703125,4.0,4.0,4.4804688,4.5,3.0,4.1210938,4.0,4.0,4.1796875,4.0
5.0,4.453125,4.5,5.0,4.4726562,4.5,5.0,5.0546875,5.0,4.0,4.5273438,4.5,4.0,4.6914062,4.5,4.0,4.7695312,5.0,4.0,4.140625,4.0,5.0,4.6171875,4.5,3.5,4.0507812,4.0,4.0,4.2265625,4.0
4.0,4.046875,4.0,4.0,3.9746094,4.0,4.0,4.5390625,4.5,4.0,3.9492188,4.0,3.5,3.9199219,4.0,3.5,4.0,4.0,3.5,3.5839844,3.5,4.0,4.1054688,4.0,3.0,3.8085938,4.0,3.5,3.8300781,4.0
4.0,4.296875,4.5,4.0,4.3242188,4.5,4.5,4.9882812,5.0,4.0,4.3242188,4.5,4.0,4.4921875,4.5,4.0,4.5625,4.5,3.5,3.8964844,4.0,4.0,4.5,4.5,4.0,4.1757812,4.0,3.5,4.1289062,4.0
4.0,4.3671875,4.5,4.0,4.4375,4.5,5.0,5.046875,5.0,4.0,4.4414062,4.5,4.5,4.6210938,4.5,4.5,4.6601562,4.5,3.0,3.9824219,4.0,4.5,4.6132812,4.5,5.0,4.2226562,4.0,4.0,4.1953125,4.0
4.0,3.7207031,3.5,4.0,3.765625,4.0,4.5,4.1171875,4.0,3.0,3.3554688,3.5,3.0,3.5292969,3.5,3.0,3.5039062,3.5,3.0,3.1699219,3.0,4.0,3.6660156,3.5,4.5,3.8300781,4.0,3.0,3.3671875,3.5
3.5,3.6992188,3.5,3.0,3.7519531,4.0,3.5,4.3359375,4.5,3.0,3.4902344,3.5,3.0,3.6210938,3.5,3.0,3.6425781,3.5,3.0,3.3339844,3.5,4.0,3.7753906,4.0,3.5,3.9355469,4.0,3.5,3.6269531,3.5
4.0,3.4238281,3.5,3.0,3.53125,3.5,3.0,3.9101562,4.0,3.0,3.2675781,3.5,3.0,3.3964844,3.5,3.0,3.3691406,3.5,3.0,3.2050781,3.0,4.0,3.6445312,3.5,4.0,3.6503906,3.5,3.0,3.3730469,3.5
3.0,3.4082031,3.5,3.0,3.5761719,3.5,3.0,4.109375,4.0,3.0,3.2832031,3.5,3.0,3.4980469,3.5,3.0,3.484375,3.5,3.0,3.1816406,3.0,3.0,3.5234375,3.5,3.5,3.7285156,3.5,3.5,3.4628906,3.5
2.0,2.8652344,3.0,2.5,3.0625,3.0,3.0,3.390625,3.5,3.0,2.9121094,3.0,3.0,3.1191406,3.0,3.0,3.1347656,3.0,3.0,2.8242188,3.0,3.0,3.1210938,3.0,2.0,3.1289062,3.0,3.5,3.015625,3.0
3.5,3.8105469,4.0,4.0,3.9121094,4.0,4.5,4.4960938,4.5,3.0,3.6542969,3.5,3.0,3.8417969,4.0,3.0,3.8691406,4.0,3.5,3.5234375,3.5,4.0,4.0,4.0,3.5,4.0507812,4.0,3.5,3.828125,4.0
2.5,3.3476562,3.5,3.5,3.5175781,3.5,3.0,3.9472656,4.0,3.0,3.1816406,3.0,3.0,3.4746094,3.5,3.0,3.5136719,3.5,3.0,3.1738281,3.0,3.0,3.5546875,3.5,3.5,3.6503906,3.5,3.0,3.46875,3.5
3.5,3.4101562,3.5,3.0,3.5527344,3.5,4.0,3.9511719,4.0,3.0,3.2597656,3.5,3.0,3.5390625,3.5,3.0,3.5664062,3.5,3.0,3.234375,3.0,2.5,3.6152344,3.5,4.0,3.6914062,3.5,4.0,3.5371094,3.5
3.0,3.2597656,3.5,3.0,3.3945312,3.5,3.0,3.8339844,4.0,3.0,3.0585938,3.0,3.0,3.3925781,3.5,3.0,3.3886719,3.5,3.5,3.0800781,3.0,3.5,3.6230469,3.5,3.0,3.3535156,3.5,3.0,3.2109375,3.0
3.5,3.5371094,3.5,4.0,3.859375,4.0,4.0,4.234375,4.0,3.0,3.609375,3.5,3.0,3.6699219,3.5,3.0,3.7285156,3.5,3.0,3.3535156,3.5,3.5,3.9863281,4.0,4.0,3.7519531,4.0,3.5,3.6367188,3.5
3.5,3.8085938,4.0,4.0,3.84375,4.0,4.5,4.4765625,4.5,3.0,3.5273438,3.5,3.5,3.7382812,3.5,3.5,3.84375,4.0,3.0,3.296875,3.5,3.0,3.9296875,4.0,4.0,3.8300781,4.0,3.5,3.671875,3.5
3.5,3.9433594,4.0,4.0,3.9121094,4.0,4.5,4.5625,4.5,4.0,3.6152344,3.5,3.0,3.8535156,4.0,3.0,3.8535156,4.0,3.0,3.4667969,3.5,3.5,4.0625,4.0,4.0,3.9023438,4.0,3.5,3.8066406,4.0
1.5,2.5058594,2.5,2.0,2.4980469,2.5,3.0,3.1367188,3.0,2.0,2.1328125,2.0,2.0,2.3496094,2.5,2.0,2.3496094,2.5,2.0,2.3027344,2.5,2.0,2.4746094,2.5,2.0,2.7910156,3.0,3.0,2.6503906,2.5
3.0,3.0,3.0,3.0,3.1191406,3.0,4.0,3.5253906,3.5,2.0,2.6679688,2.5,2.5,2.8144531,3.0,2.5,2.9101562,3.0,2.5,2.7441406,2.5,3.0,3.0136719,3.0,3.0,3.3300781,3.5,3.0,3.0371094,3.0
3.5,3.7246094,3.5,3.0,3.8007812,4.0,4.0,4.4257812,4.5,3.5,3.5175781,3.5,3.0,3.5625,3.5,3.0,3.6132812,3.5,3.0,3.4082031,3.5,2.5,3.8417969,4.0,4.5,3.9375,4.0,3.5,3.6445312,3.5
3.5,3.5253906,3.5,4.0,3.5351562,3.5,4.5,4.0546875,4.0,3.0,3.2050781,3.0,3.0,3.2890625,3.5,3.0,3.3476562,3.5,2.5,3.1621094,3.0,3.0,3.546875,3.5,3.0,3.6699219,3.5,3.0,3.453125,3.5
3.0,3.109375,3.0,3.0,3.1601562,3.0,3.0,3.7148438,3.5,2.0,2.8027344,3.0,3.0,2.9902344,3.0,3.0,3.0410156,3.0,3.0,2.7851562,3.0,3.0,3.1347656,3.0,3.0,3.46875,3.5,3.0,3.1015625,3.0
3.5,3.3476562,3.5,3.0,3.2519531,3.5,4.5,3.7929688,4.0,2.5,2.8671875,3.0,2.5,2.9179688,3.0,2.5,2.96875,3.0,2.5,2.8378906,3.0,2.5,3.2050781,3.0,3.0,3.5722656,3.5,3.0,3.1953125,3.0
4.0,3.6582031,3.5,4.0,3.6582031,3.5,3.0,4.078125,4.0,3.5,3.3007812,3.5,2.5,3.2441406,3.0,2.5,3.3476562,3.5,3.0,3.171875,3.0,3.0,3.5742188,3.5,3.0,3.765625,4.0,3.0,3.4140625,3.5
4.0,4.1914062,4.0,4.0,4.2265625,4.0,3.5,4.8710938,5.0,3.0,4.1367188,4.0,4.0,4.3554688,4.5,4.0,4.375,4.5,4.0,3.8339844,4.0,4.0,4.4648438,4.5,4.0,4.0742188,4.0,4.0,4.109375,4.0
4.0,4.0429688,4.0,3.5,4.0625,4.0,3.0,4.671875,4.5,4.0,3.9667969,4.0,4.0,4.234375,4.0,4.0,4.3242188,4.5,3.0,3.8125,4.0,4.0,4.3007812,4.5,3.5,4.0117188,4.0,3.5,4.0585938,4.0
3.5,3.1347656,3.0,3.0,3.171875,3.0,3.0,3.5566406,3.5,2.5,2.6113281,2.5,3.0,2.8339844,3.0,3.0,2.8769531,3.0,3.0,2.7910156,3.0,2.0,2.9785156,3.0,3.5,3.4238281,3.5,2.5,3.046875,3.0
3.0,3.0507812,3.0,3.0,3.2324219,3.0,4.0,3.6210938,3.5,3.0,2.9238281,3.0,3.0,3.1074219,3.0,3.0,3.1640625,3.0,3.0,2.8613281,3.0,3.0,3.3867188,3.5,3.0,3.234375,3.0,3.0,3.046875,3.0
3.5,4.078125,4.0,3.5,4.09375,4.0,3.5,4.7617188,5.0,3.5,3.8105469,4.0,4.0,4.0546875,4.0,4.0,4.1132812,4.0,3.0,3.640625,3.5,3.5,4.1445312,4.0,4.0,4.1367188,4.0,3.0,3.9980469,4.0
3.0,2.6230469,2.5,3.0,2.6308594,2.5,3.5,3.1464844,3.0,2.0,2.1894531,2.0,2.0,2.3808594,2.5,2.0,2.4375,2.5,2.0,2.3398438,2.5,2.0,2.4882812,2.5,2.5,3.0390625,3.0,3.0,2.7148438,2.5
4.0,4.1757812,4.0,4.0,4.1328125,4.0,4.5,4.8671875,5.0,3.5,3.7792969,4.0,3.0,3.9511719,4.0,3.0,4.015625,4.0,4.0,3.734375,3.5,4.0,4.1679688,4.0,4.0,4.1132812,4.0,4.0,3.9765625,4.0
3.5,3.6425781,3.5,3.5,3.7695312,4.0,3.0,4.3789062,4.5,3.0,3.4648438,3.5,4.0,3.84375,4.0,4.0,3.8730469,4.0,3.0,3.34375,3.5,3.0,3.921875,4.0,4.0,3.9589844,4.0,3.0,3.6679688,3.5
3.5,3.6953125,3.5,4.0,3.7011719,3.5,3.5,4.3242188,4.5,3.0,3.3359375,3.5,3.5,3.5976562,3.5,3.5,3.609375,3.5,3.0,3.3261719,3.5,3.5,3.8085938,4.0,4.0,3.8046875,4.0,3.0,3.6289062,3.5
3.5,4.0195312,4.0,4.0,4.015625,4.0,4.5,4.75,5.0,3.0,3.7480469,3.5,3.0,4.0546875,4.0,3.0,4.0546875,4.0,3.0,3.59375,3.5,4.0,4.1367188,4.0,4.5,4.0585938,4.0,2.0,3.859375,4.0
3.0,3.9492188,4.0,4.0,4.0585938,4.0,4.0,4.65625,4.5,3.5,3.6953125,3.5,3.5,3.8398438,4.0,3.5,3.8378906,4.0,3.5,3.578125,3.5,3.5,4.0585938,4.0,4.0,4.078125,4.0,4.0,3.9042969,4.0
3.5,3.9667969,4.0,4.0,3.9492188,4.0,4.5,4.65625,4.5,3.5,3.5644531,3.5,3.0,3.7890625,4.0,3.0,3.8535156,4.0,3.0,3.4785156,3.5,4.0,4.0195312,4.0,3.5,4.015625,4.0,3.5,3.8261719,4.0
4.0,4.3515625,4.5,4.0,4.2851562,4.5,4.0,4.9765625,5.0,4.0,4.4453125,4.5,4.0,4.546875,4.5,4.0,4.5898438,4.5,4.0,3.9824219,4.0,4.0,4.578125,4.5,4.0,4.1171875,4.0,3.5,4.09375,4.0
3.5,4.0820312,4.0,3.0,4.0976562,4.0,4.5,4.765625,5.0,4.5,4.2578125,4.5,3.5,4.3789062,4.5,3.5,4.421875,4.5,3.5,3.8574219,4.0,4.0,4.4375,4.5,4.0,3.9746094,4.0,3.0,3.859375,4.0
3.0,3.5175781,3.5,3.5,3.6289062,3.5,3.0,4.09375,4.0,3.0,3.3535156,3.5,4.0,3.6367188,3.5,4.0,3.5058594,3.5,3.0,3.2304688,3.0,2.5,3.609375,3.5,3.5,3.7089844,3.5,3.0,3.4628906,3.5
4.0,4.1015625,4.0,3.5,4.0820312,4.0,4.0,4.7070312,4.5,3.0,3.8945312,4.0,4.0,4.046875,4.0,4.0,4.0703125,4.0,3.0,3.5859375,3.5,3.5,4.203125,4.0,3.5,4.0195312,4.0,3.5,3.78125,4.0
3.0,3.3730469,3.5,3.0,3.3789062,3.5,3.0,3.9453125,4.0,3.0,3.0058594,3.0,3.0,3.2089844,3.0,3.0,3.265625,3.5,3.0,3.0117188,3.0,3.0,3.3710938,3.5,4.0,3.7988281,4.0,3.0,3.3886719,3.5
3.0,2.9199219,3.0,3.0,2.9394531,3.0,3.0,3.2851562,3.5,2.5,2.6445312,2.5,3.0,2.8203125,3.0,3.0,2.8652344,3.0,3.0,2.6347656,2.5,2.5,2.9042969,3.0,3.0,3.171875,3.0,3.0,2.921875,3.0
3.0,3.40625,3.5,3.0,3.40625,3.5,3.5,3.9804688,4.0,2.5,2.9570312,3.0,3.0,3.0761719,3.0,3.0,3.0546875,3.0,3.0,3.0019531,3.0,2.5,3.3144531,3.5,4.0,3.6894531,3.5,3.0,3.3554688,3.5
3.0,3.2324219,3.0,2.5,3.4707031,3.5,3.0,3.8378906,4.0,3.0,3.3144531,3.5,3.0,3.5683594,3.5,3.0,3.5175781,3.5,3.0,3.125,3.0,3.5,3.6015625,3.5,4.0,3.6367188,3.5,3.0,3.3164062,3.5
4.0,4.296875,4.5,4.0,4.4023438,4.5,4.5,5.0898438,5.0,3.5,4.4179688,4.5,4.0,4.6484375,4.5,4.0,4.6992188,4.5,4.0,4.0,4.0,4.5,4.6367188,4.5,3.5,4.140625,4.0,3.5,4.2539062,4.5
2.0,2.6601562,2.5,2.0,2.7773438,3.0,3.0,3.3496094,3.5,2.0,2.3652344,2.5,3.0,2.5390625,2.5,3.0,2.5859375,2.5,2.0,2.4667969,2.5,2.5,2.7050781,2.5,3.0,3.1328125,3.0,3.0,2.8730469,3.0
3.0,3.1816406,3.0,3.5,3.3105469,3.5,4.0,3.7890625,4.0,3.0,2.9648438,3.0,3.0,3.078125,3.0,3.0,3.1328125,3.0,3.0,2.8535156,3.0,2.5,3.2519531,3.5,3.5,3.5078125,3.5,3.0,3.125,3.0
4.0,4.125,4.0,4.0,4.1875,4.0,4.5,4.875,5.0,3.5,4.0195312,4.0,4.0,4.1523438,4.0,4.0,4.1835938,4.0,3.0,3.6914062,3.5,4.0,4.2539062,4.5,3.5,4.1367188,4.0,4.0,4.0039062,4.0
4.0,4.1171875,4.0,4.5,4.1914062,4.0,5.0,4.6484375,4.5,4.0,3.796875,4.0,3.0,3.5996094,3.5,3.0,3.7441406,3.5,4.0,3.7578125,4.0,3.5,3.9121094,4.0,4.0,3.9921875,4.0,4.0,3.8476562,4.0
4.0,3.8300781,4.0,3.0,4.03125,4.0,4.0,4.6445312,4.5,4.0,4.3359375,4.5,4.0,4.4296875,4.5,4.0,4.484375,4.5,3.0,3.8007812,4.0,4.0,4.4414062,4.5,4.5,3.8964844,4.0,3.5,3.8769531,4.0
4.0,3.4257812,3.5,3.5,3.5644531,3.5,4.5,4.125,4.0,3.0,3.3691406,3.5,2.5,3.40625,3.5,2.5,3.4160156,3.5,3.0,3.1523438,3.0,3.0,3.5507812,3.5,3.0,3.5976562,3.5,3.0,3.2890625,3.5
4.0,4.2070312,4.0,4.0,4.3320312,4.5,5.0,4.9375,5.0,4.0,4.375,4.5,4.0,4.4609375,4.5,4.0,4.5,4.5,3.0,3.9140625,4.0,4.5,4.4296875,4.5,4.0,4.0390625,4.0,3.0,4.0507812,4.0
3.5,3.9277344,4.0,4.0,4.0703125,4.0,5.0,4.6835938,4.5,3.0,3.8515625,4.0,4.0,4.046875,4.0,4.0,4.0078125,4.0,4.0,3.7265625,3.5,4.0,4.109375,4.0,4.0,4.0195312,4.0,3.0,3.9101562,4.0
3.0,3.2949219,3.5,4.0,3.4101562,3.5,3.0,3.9238281,4.0,2.0,3.03125,3.0,3.0,3.2851562,3.5,3.0,3.3183594,3.5,3.0,3.0078125,3.0,2.5,3.375,3.5,4.0,3.6933594,3.5,3.0,3.3066406,3.5
3.0,3.3203125,3.5,3.0,3.4257812,3.5,3.0,3.8730469,4.0,3.0,3.0273438,3.0,3.0,3.2773438,3.5,3.0,3.2792969,3.5,3.0,3.0722656,3.0,4.0,3.3964844,3.5,4.0,3.765625,4.0,2.5,3.3359375,3.5
3.0,3.4628906,3.5,3.0,3.5703125,3.5,3.5,4.046875,4.0,3.0,3.3417969,3.5,3.0,3.5976562,3.5,3.0,3.6445312,3.5,3.0,3.2070312,3.0,3.0,3.6347656,3.5,4.0,3.8964844,4.0,3.5,3.5488281,3.5
3.0,2.7246094,2.5,2.5,2.6796875,2.5,3.0,3.3691406,3.5,2.0,2.234375,2.0,2.5,2.4570312,2.5,2.5,2.5097656,2.5,2.5,2.4257812,2.5,2.0,2.6347656,2.5,3.5,3.1328125,3.0,3.0,2.7792969,3.0
3.5,3.5273438,3.5,4.0,3.5605469,3.5,4.5,4.1601562,4.0,3.0,3.0566406,3.0,3.0,3.2695312,3.5,3.0,3.296875,3.5,3.0,3.078125,3.0,3.5,3.4414062,3.5,3.5,3.7089844,3.5,3.0,3.4765625,3.5
3.0,3.6503906,3.5,3.5,3.7773438,4.0,4.0,4.4296875,4.5,3.0,3.7324219,3.5,4.0,3.890625,4.0,4.0,3.9472656,4.0,3.0,3.3789062,3.5,3.0,4.0625,4.0,3.5,3.7714844,4.0,3.0,3.6054688,3.5
4.0,4.3671875,4.5,4.5,4.4921875,4.5,5.0,5.1289062,5.0,5.0,4.6328125,4.5,5.0,4.8789062,5.0,5.0,4.9492188,5.0,4.0,4.1953125,4.0,4.0,4.7226562,4.5,4.0,4.1210938,4.0,4.0,4.328125,4.5
4.5,4.2265625,4.0,4.0,4.34375,4.5,4.5,4.984375,5.0,4.0,4.4648438,4.5,4.0,4.6601562,4.5,4.0,4.6914062,4.5,4.0,4.0273438,4.0,4.0,4.6171875,4.5,3.5,4.015625,4.0,4.0,4.1445312,4.0
3.0,4.0351562,4.0,4.0,4.2695312,4.5,4.5,4.8945312,5.0,3.0,4.2617188,4.5,4.0,4.5390625,4.5,4.0,4.5429688,4.5,4.0,3.9160156,4.0,4.0,4.4804688,4.5,3.5,3.9765625,4.0,4.0,4.109375,4.0
3.5,3.5585938,3.5,3.0,3.6347656,3.5,3.5,4.109375,4.0,3.0,3.3027344,3.5,3.0,3.484375,3.5,3.0,3.5039062,3.5,3.5,3.25,3.0,3.0,3.6679688,3.5,3.5,3.7421875,3.5,3.0,3.4882812,3.5
4.0,4.3867188,4.5,3.5,4.4726562,4.5,5.0,5.140625,5.0,4.0,4.4921875,4.5,4.0,4.71875,4.5,4.0,4.78125,5.0,4.0,4.0546875,4.0,4.0,4.6445312,4.5,4.0,4.171875,4.0,4.0,4.3398438,4.5
3.0,3.3046875,3.5,3.5,3.4628906,3.5,3.5,3.8652344,4.0,3.0,3.0878906,3.0,3.0,3.1601562,3.0,3.0,3.265625,3.5,3.0,3.0507812,3.0,3.5,3.421875,3.5,4.0,3.5507812,3.5,3.0,3.265625,3.5
2.5,3.3984375,3.5,3.0,3.4804688,3.5,4.0,4.1015625,4.0,2.5,3.0390625,3.0,3.0,3.2382812,3.0,3.0,3.2871094,3.5,3.0,3.0097656,3.0,3.0,3.4160156,3.5,4.0,3.7910156,4.0,3.0,3.3398438,3.5
3.0,3.4023438,3.5,3.0,3.5488281,3.5,3.5,3.9492188,4.0,3.0,3.21875,3.0,3.0,3.4550781,3.5,3.0,3.515625,3.5,3.0,3.109375,3.0,3.0,3.5917969,3.5,4.5,3.7890625,4.0,3.5,3.390625,3.5
3.0,3.2089844,3.0,4.0,3.5195312,3.5,5.0,3.859375,4.0,3.0,3.1230469,3.0,2.5,3.2226562,3.0,2.5,3.2578125,3.5,3.0,3.0820312,3.0,3.0,3.4648438,3.5,3.5,3.4570312,3.5,3.5,3.328125,3.5
4.0,4.1679688,4.0,4.0,4.171875,4.0,3.5,4.8164062,5.0,3.0,4.0195312,4.0,4.0,4.21875,4.0,4.0,4.2539062,4.5,3.0,3.7519531,4.0,4.0,4.34375,4.5,3.5,4.078125,4.0,4.0,4.0625,4.0
3.5,3.6464844,3.5,3.5,3.9121094,4.0,4.5,4.4609375,4.5,4.0,3.7265625,3.5,4.0,3.9472656,4.0,4.0,3.9863281,4.0,3.0,3.4277344,3.5,3.0,3.9980469,4.0,3.5,3.8066406,4.0,4.0,3.7578125,4.0
4.0,4.2460938,4.0,4.0,4.40625,4.5,5.0,5.046875,5.0,4.0,4.5820312,4.5,4.0,4.6601562,4.5,4.0,4.6835938,4.5,4.0,4.0703125,4.0,4.0,4.671875,4.5,4.0,4.1015625,4.0,2.0,4.1484375,4.0
3.0,2.9824219,3.0,3.0,3.2890625,3.5,3.0,3.5878906,3.5,3.0,3.2226562,3.0,3.0,3.2441406,3.0,3.0,3.3398438,3.5,3.0,2.8789062,3.0,3.5,3.4902344,3.5,3.0,3.2910156,3.5,3.0,3.1933594,3.0
4.0,3.6640625,3.5,3.0,3.7675781,4.0,3.0,4.2109375,4.0,3.0,3.5195312,3.5,3.0,3.6523438,3.5,3.0,3.6621094,3.5,3.0,3.3398438,3.5,4.0,3.7832031,4.0,4.0,3.7734375,4.0,3.0,3.5351562,3.5
3.0,3.4667969,3.5,3.0,3.5449219,3.5,3.5,4.0664062,4.0,3.0,3.4082031,3.5,3.0,3.5527344,3.5,3.0,3.546875,3.5,3.0,3.1894531,3.0,3.5,3.7207031,3.5,3.0,3.78125,4.0,3.0,3.4941406,3.5
2.5,3.2734375,3.5,3.0,3.4746094,3.5,4.0,4.0,4.0,3.0,3.1796875,3.0,3.0,3.3671875,3.5,3.0,3.4140625,3.5,3.0,3.0957031,3.0,3.0,3.5390625,3.5,3.5,3.7109375,3.5,3.0,3.3808594,3.5
4.0,4.4140625,4.5,4.0,4.4296875,4.5,5.0,5.1875,5.0,4.0,4.3671875,4.5,4.5,4.6757812,4.5,4.5,4.71875,4.5,4.0,4.0859375,4.0,4.0,4.5195312,4.5,4.0,4.2382812,4.0,4.0,4.34375,4.5
3.0,3.7773438,4.0,4.0,3.9765625,4.0,4.0,4.4648438,4.5,3.0,3.6582031,3.5,3.0,3.9375,4.0,3.0,3.9277344,4.0,4.0,3.5253906,3.5,3.5,4.0546875,4.0,3.0,3.890625,4.0,3.0,3.7324219,3.5
2.5,2.8574219,3.0,3.0,3.0566406,3.0,2.5,3.4375,3.5,3.0,2.875,3.0,2.5,3.1113281,3.0,2.5,3.15625,3.0,2.0,2.8222656,3.0,3.5,3.2402344,3.0,3.5,3.3066406,3.5,2.5,2.9082031,3.0
4.5,4.3125,4.5,4.0,4.40625,4.5,4.5,5.078125,5.0,4.0,4.4765625,4.5,4.0,4.7226562,4.5,4.0,4.7890625,5.0,3.5,4.1171875,4.0,4.5,4.6835938,4.5,4.0,4.1523438,4.0,4.0,4.3320312,4.5
3.0,3.515625,3.5,3.0,3.5683594,3.5,4.0,4.2265625,4.0,3.0,3.2851562,3.5,3.5,3.4882812,3.5,3.5,3.5410156,3.5,3.0,3.1699219,3.0,3.0,3.7011719,3.5,3.0,3.890625,4.0,3.0,3.5625,3.5
